1984 is #4 ,Feb 1 2004 12:00AM,sean bonner,  , and#8220;since 1967 there have been 37 super bowls  with approximately 60 spots each totaling more than 2200 super bowl commercials.and#8221;        cbs held a contest where people could vote and  choose the best super bowl commericals of all time and appleand#8217;s 1984 spot clocked in at 4th place. not bad at all. this  was massive news about 5 hours ago so my apologies if youand#8217;ve read it 90 other places already. ,428,1,0,2, http://www.tuaw.com/2004/02/01/1984-is-4/#comments ,http://www.tuaw.com/2004/02/01/1984-is-4/,,
pepsi/itunes is a go! ,Feb 1 2004 12:00AM,sean bonner,  , while the commercials  havenand#8217;t aired yet the green  day version of and#8220;i fought the lawand#8221; is already available from the itunes music store. and since today officially  launches the promotion a and#8220;redeem  songand#8221; button has also been added to the store.via  macminute ,300,4,0,0, http://www.tuaw.com/2004/02/01/pepsi-itunes-is-a-go/#comments ,http://www.tuaw.com/2004/02/01/pepsi-itunes-is-a-go/,,
atom ties iphoto to typepad ,Feb 1 2004 12:00AM,sean bonner,  , jerry steel has been  working on a script using the atom api to export photos from iphoto directly into his typepad blog. heand#8217;s got a demo  version working and is finishing up a shareware version now. ,209,1,0,0, http://www.tuaw.com/2004/02/01/atom-ties-iphoto-to-typepad/#comments ,http://www.tuaw.com/2004/02/01/atom-ties-iphoto-to-typepad/,,
disk utility from the terminal ,Feb 2 2004 12:00AM,sean bonner,  , macmerc provides this  tip of the week to help you  optimize your hardrive with out using install disks:        and#8220;how do you run disk utility or something similar without restarting from your install disk? just restart  holding and#8216;command-sand#8217; remember and#8220;save meand#8221; for you word processor users and youand#8217;ll be introduced to a new screen. the  screen will be black featuring white text and 5 color letters in the word and#8216;colorand#8217;. once the verbose words load has  finished youand#8217;ll recognize what appears to be the terminal. enter and#8221;/sbin/fsck -yand#8221; or and#8221;/sbin/fsck -fand#8221; if you have  journaling enabled and hit and#8216;enterand#8217;. youand#8217;ll want to continue this string until it finds no more problems fixing a  problem may make another problem moreandhellip;visible. when youand#8217;re done enter and#8220;rebootand#8221; and hit and#8216;enterand#8217;. and#8221; ,961,2,0,2, http://www.tuaw.com/2004/02/02/disk-utility-from-the-terminal/#comments ,http://www.tuaw.com/2004/02/02/disk-utility-from-the-terminal/,,
apple in austin ,Feb 2 2004 12:00AM,sean bonner,  , macnn reports that apple is eyeing  retail space in austin tx. it looks  like they are negotiating to lease roughly 275000 square feet in nw austin a space previously rented by internet  company eds.        and#8220;the pending deal is being interpreted as a positive sign for the northwest austin submarket which has been  plagued with excess space and the highest office vacancy rate in the city and#8212; roughly 28 percent.and#8221; ,438,2,0,1, http://www.tuaw.com/2004/02/02/apple-in-austin/#comments ,http://www.tuaw.com/2004/02/02/apple-in-austin/,,
safari 1.2 released ,Feb 2 2004 12:00AM,sean bonner,  , as if on que apple releases safari  1.2. available from their site or via software update. itand#8217;s got a whole slew of improvements most importatly it  now works with java 1.4.2 ,184,1,0,0, http://www.tuaw.com/2004/02/02/safari-1-2-released/#comments ,http://www.tuaw.com/2004/02/02/safari-1-2-released/,,
need a new browser? ,Feb 2 2004 12:00AM,sean bonner,  , do you use a new browser every day? bored with  safari? crushed by mozilla? burned by  firebird?  camino? no.        sounds like you are the type who needs to go grab a copy of the omni groupand#8217;s new  omniweb browser. itand#8217;s beta has known bugs and  still very under construction but hey! itand#8217;s new! ,320,5,0,1, http://www.tuaw.com/2004/02/02/need-a-new-browser/#comments ,http://www.tuaw.com/2004/02/02/need-a-new-browser/,,
one music file to rule them all ,Feb 2 2004 12:00AM,sean bonner,  , reuters/billboard are  reporting that apple and  microsoft are talking about how to unify the world of digital music so that all the devices could play nice. while  the apple people werenand#8217;t quoted microsoft said:        and#8220;thereand#8217;s a lot of buzz going around about how to bridge the gap to create a seamless experience. but there are  some tough issues with thatand#8221; says dave fester gm of microsoftand#8217;s windows digital media division. and#8220;we collectively need  to do the right thing for the consumer.and#8221;        while i agree some kind of stardard would be cool iand#8217;m pretty sure we already had it with mp3s before everyone  started getting so greedy. ,702,1,0,0, http://www.tuaw.com/2004/02/02/one-music-file-to-rule-them-all/#comments ,http://www.tuaw.com/2004/02/02/one-music-file-to-rule-them-all/,,
40mb of free loops ,Feb 2 2004 12:00AM,sean bonner,  , macmerc reports that  bitshift audio is offering  40mb of free loops for  garageband.        and#8220;our resident beat programmer art gillespie aka bitshift is so excited about  garageband and the new apple loops file format that he put together this collection of free electro/breakbeat drum and  synth loops from his forthcoming apple loops cd and#8216;bitshiftand#8217;s banginand#8217; beatsand#8217; for everyone to download for free.and#8221;        you give them your e-mail which they promise not to do anything nasty with and they give you the files. trick is  itand#8217;s 40mb of free files so everyone in the world is trying to grab them causing mad bandwidth issues. they keep moving  the files to make it easier but thatand#8217;s not going to last. if you are the garageband type donand#8217;t waste any time. ,827,4,0,0, http://www.tuaw.com/2004/02/02/40mb-of-free-loops/#comments ,http://www.tuaw.com/2004/02/02/40mb-of-free-loops/,,
google beats out apple for brand of the year ,Feb 3 2004 12:00AM,jason mccabe calacanis,  , google has beat out apple and even my mini cooper as global brand of the year! ,80,0,0,0, http://www.tuaw.com/2004/02/03/google-beats-out-apple-for-brand-of-the-year/#comments ,http://www.tuaw.com/2004/02/03/google-beats-out-apple-for-brand-of-the-year/,,
pcand#8217;d g5 is a hoax ,Feb 3 2004 12:00AM,sean bonner,  , overclockers who broke the news about the kid who turned his g5  into a pc just posted this confession:        and#8220;i have been feeling a little guilty about causing so many people out there to have nightmares depression and  sickness from my little joke. the reaction of people word wide has blown me away. i never intended for such a thing to  happen.            my in box went from 1% to 100% in 2 days 1300 messages. so many people were pointing out what a stupid thing to do  so many people were telling me of feeling sick some even said they cried. i felt bad for those people. it was amusing  to read things like and#8220;i should be hung by my testicles and lit on fireand#8221; or the constant reference to and#8220;taking a porsche  and replacing the engine with a kiasand#8221;. most people cried out in horror and carefully pointed out the error of doing  such a silly thing.            i am sure you are wondering why this all took place.            are the pictures real? yes.      is it my own g5 case that has been cut and hacked? yes.      did i give away two g5 2ghz processors ibm pc 970? no!      so what happened?            i got a free g5 shell from a buddy of mine and pulled a prank on a mac loving friend. he got so upset. i wrote up a  little story my imagination and warped sense of humor kicked in. i sent it to oc.com just to see the reaction. i  honestly didnand#8217;t think it was going to be posted. i cannot believe how fast or how far it has spread on the internet.  there are an amazing number of people who are emotionally attached to inanimate objects such as computers. mac fans  seem to be much worse that i ever expected. the g5 is amazing i would never dream of really doing that ;            andy - g5 killerand#8221; via macnn    update:wired news reports on this  including details of the death threats and other ill tidings and#8220;andyand#8221; received that led up to his confession. ,1939,3,0,0, http://www.tuaw.com/2004/02/03/pcd-g5-is-a-hoax/#comments ,http://www.tuaw.com/2004/02/03/pcd-g5-is-a-hoax/,,
photo printer roundup ,Feb 3 2004 12:00AM,sean bonner,  , everyone is yapping on and on about their new  photo printer and how much it rules and blah blah blah. the one photo printer i ever had sucked. howand#8217;s a guy supposed  to know where to find photo printing salvation? lucky for me  macworld just reviewed a bunch of  them.        and#8220;in this roundup we looked at two new printers from canon and#8212; the $250 i900d and the $200 i960 and#8212; epsonand#8217;s $179  stylus photo r300 pictured right hewlett-packardand#8217;s $300 photosmart 7960 and lexmarkand#8217;s $80 z705. we also included an  outlier the $499 olympus p-440 which uses dye-sublimation rather than ink-jet technology to produce  prints.and#8221;        btw the cannonand#8217;s and epson blew the others away. ,741,1,0,0, http://www.tuaw.com/2004/02/03/photo-printer-roundup/#comments ,http://www.tuaw.com/2004/02/03/photo-printer-roundup/,,
pixelpalooza 2004 ,Feb 3 2004 12:00AM,sean bonner,  , itand#8217;s the time of year iconists or icon artists  have been dreaming about. pixelpalooza 2004 has opened itand#8217;s  doors and is accepting entries from now until march 31st with a winner to be announced mid april.        and#8220;pixelpalooza is an annual forum for all icon artists iconists as we like to call them to strut their stuff  and show how much talent is really out there. the main purpose of the contest is to energize the macintosh icon  community and generate a lot of fun in the process. but we also give away very cool prizes as well.and#8221;        the categories are mac os x candybar and clasic mac os. the image to the right is by christophe bouchard last  years first place in the candybar category. via macnn ,742,2,0,0, http://www.tuaw.com/2004/02/03/pixelpalooza-2004/#comments ,http://www.tuaw.com/2004/02/03/pixelpalooza-2004/,,
xserve and 20and#8221; imac reviews ,Feb 3 2004 12:00AM,sean bonner,  , in his usa today column cyberspeak gene steinberg  takes a look at the 20and#8221;  imac and walks away loving it.        itand#8217;s fair to say that apple computer probably has the best industrial design group of any pc maker. and you can bet  the current generation imac turns heads. most of you have seen the dome base the articulated stainless steel arm and  the flat panel display that seems to float in space.    and computerworld says  xserve is a dream  machine.        all in all the xserve g5 is not something most mac users will focus on. but for mac administrators especially  those in companies and institutions with a high demand for fast reliable network services the xserve g5 seems like a  dream machine. ,725,2,0,0, http://www.tuaw.com/2004/02/03/xserve-and-20-imac-reviews/#comments ,http://www.tuaw.com/2004/02/03/xserve-and-20-imac-reviews/,,
.mac mail woes ,Feb 4 2004 12:00AM,sean bonner,  , in a .mac discussion thread an apple  representative acknowledged that .mac mail wasnand#8217;t working as it should from 12:30pm to 4:00pm pst on monday. they  advised that and#8220;if you suspect that a message sent to you has not arrived you may wish to have the originator resend  it.and#8221;        and if thatand#8217;s not bad enough the broadband isp road runner s currently rejecting all email sent from .mac. via  macfixit ,435,1,0,0, http://www.tuaw.com/2004/02/04/mac-mail-woes/#comments ,http://www.tuaw.com/2004/02/04/mac-mail-woes/,,
things that make you go and#8220;huh?and#8221; ,Feb 4 2004 12:00AM,sean bonner,  , a few notables today for your and#8220;what the crap are those people thinkingand#8221; news section. many people have  apple loans - i got one in college itand#8217;s basically a credit line for  apple products. back in my day i had to write out a check every month and mail in the payment however like a lot of  bills today people have the option to pay their account online. the bank that services the apple loan is  mbna which recently and#8220;upgradedand#8221; their online bill payment system from  their own proprietary web-based system to a third party system called checkfree.  checkfree doesnand#8217;t support mac. so in order to pay the apple loan online you canand#8217;t use the apple products you just  bought. great thinking on that one guys! actually thatand#8217;s not entirely true you can use the safari debugger menu to  change my user agent to and#8220;windows msie 6.0and#8221; and it seems to work but still.        additionally i went to the apple store the other day to buy some usb cables and things and learned due to a new  policy people can no longer pay with a company check at the store unless their name is printed on the check. it made no  difference that i had credit cards with my name and the company name business cards with my name and the company name  ids nothing mattered. my name had to be on the company check. while this is a slight headache for me and my and#8220;under 10  employeeand#8221; business iand#8217;d imagine this is going to be a nightmare for some larger companies. i personally know a lot of  people who use company check specifically because they donand#8217;t have their name on them. ,1650,3,0,0, http://www.tuaw.com/2004/02/04/things-that-make-you-go-huh/#comments ,http://www.tuaw.com/2004/02/04/things-that-make-you-go-huh/,,
order by valentineand#8217;s day  save $30 ,Feb 4 2004 12:00AM,sean bonner,  , and#8220;buy online at the  apple store by february 14 and you can save $30 instantly on  any order totaling $299 or more.* itand#8217;s the perfect opportunity to give your special valentine the ipod theyand#8217;ve been  wanting so they can take the music they love with them wherever they go. the new 15gb model costs only $299 and holds  more than 3700 songs in a package that looks and feels as elegant as it sounds.** place your order today and you can  add laser engraving for free and save $30 instantly as well.***and#8221;        this offer is good online only and you need to enter offer code and#8216;kqyuv9u97wand#8217; for the discount to apply.via  macminute ,675,2,0,0, http://www.tuaw.com/2004/02/04/order-by-valentines-day-save-30/#comments ,http://www.tuaw.com/2004/02/04/order-by-valentines-day-save-30/,,
wijector price drop ,Feb 4 2004 12:00AM,sean bonner,  , macwireless  just dropped the price of their wijector to  $299.        and#8220;office users can now have the freedom of wireless during their presentations by simply plugging the macwireless  wijector in to the projectorand#8217;s/monitorand#8217;s vga port and use it to connect with their wifi enabled computer. the  macwireless wijector is an instant wireless hub allowing for multiple computers to offer presentations without having  to physically disconnect the computers from the wijector enabled projector/monitor.and#8221;        the wijector runs on mac os 9 mac os x windows 98se me 2000 and xp.        macnn adds that they are lowering prices on a few other products as  well as adding some new items to their catalog. ,732,3,0,0, http://www.tuaw.com/2004/02/04/wijector-price-drop/#comments ,http://www.tuaw.com/2004/02/04/wijector-price-drop/,,
omniweb 5.0 beta reviewed ,Feb 5 2004 12:00AM,sean bonner,  , a few days ago we announced that the omni group had released a new version of  itand#8217;s browser omniweb. today ars  technica posted a massively indepth review:        omniweb 5 goes beyond the call of duty by providing more than just the and#8220;obviousand#8221; featuresand#8212;the ones that every  mozilla user is shocked to learn are missing from safari. the omni group has incorporated all their interesting and  unique ideas from omniweb 4 and built on them in a big way: the tab drawer workspaces per-site preferences rss  integration itand#8217;s all gravy.            usually this level of functionality can only be found in the geekiest of open source web browsers if it can be found  at all. finding it in a proper mac os x application from a respected developer with a proven track record is like  finding a perfect 1/10000th scale replica of the eiffel in a box of crackerjacks. then the tower transforms into a  tiny robot and makes you lunch.            omniweb 5 still has many hurdles to overcome. a world-class rendering engine is merely the price of entry in this  league. even small deviations from and#8220;the gold standardand#8221; make omniweb 5 a much less attractive product. all the features  in the world wonand#8217;t help if your favorite web site looks weird behaves strangely or just plain wonand#8217;t load. the sooner  omniweb can sync with the latest version of webcore the better. ,1424,1,0,0, http://www.tuaw.com/2004/02/05/omniweb-5-0-beta-reviewed/#comments ,http://www.tuaw.com/2004/02/05/omniweb-5-0-beta-reviewed/,,
fight back! ,Feb 5 2004 12:00AM,sean bonner,  , macmerc has posted a link to  fight back! an anti-riaa pepsi/apple superbowl ad remix parody thing. this  video created by james saldana is hosted on several mirrors so you should be able to see it without bandwidth issues.  james says:        and#8220;i love apple indifferent about pepsi and i hate the riaa! screw the riaa use the itunes to buy independent  labels only!and#8221;    got it? ,395,2,0,0, http://www.tuaw.com/2004/02/05/fight-back/#comments ,http://www.tuaw.com/2004/02/05/fight-back/,,
cross platform video chat ,Feb 5 2004 12:00AM,sean bonner,  , more news of macand#8217;s and pcs playing nice with each other. with todayand#8217;s release  of ichatav 2.1 and windows aim  5.5 you and your friends who havenand#8217;t bought macs yet can video chat cross platform. ichat 2.1 is a public beta  that expires march 31 but that just means there will be an ever better version shortly. ,336,2,0,2, http://www.tuaw.com/2004/02/05/cross-platform-video-chat/#comments ,http://www.tuaw.com/2004/02/05/cross-platform-video-chat/,,
fred anderson to retire ,Feb 5 2004 12:00AM,sean bonner,  , according to  this associated press  story apple computer cfo fred anderson who joined apple  in 1996 will be retiring on june 1 2004. according to this press photo from appleand#8217;s site he also sunburns very  easily. upon his retirement. anderson is to be named a director and be replaced by peter oppenheimer senior vice  president of finance and corporate controller. ,376,2,0,0, http://www.tuaw.com/2004/02/05/fred-anderson-to-retire/#comments ,http://www.tuaw.com/2004/02/05/fred-anderson-to-retire/,,
mossberg on garageband ,Feb 5 2004 12:00AM,sean bonner,  , walter mossberg who writes the personal  technology section of the wall street journal chimes in about  garageband and some of the things itand#8217;s going to change.        personal computers long have been used to produce  popular music. but it has often taken significant musical knowledge and hundreds or even thousands of dollars to  master decent music-production software.             now however that is changing thanks to apple computer whose macintosh computers and ipod music players are  especially popular with musicians. apple has just introduced garageband a free program for the macintosh that includes  many of the core features of costlier music-production software in an interface easy enough for rank amateurs to  handle.and#8221; ,753,2,0,0, http://www.tuaw.com/2004/02/05/mossberg-on-garageband/#comments ,http://www.tuaw.com/2004/02/05/mossberg-on-garageband/,,
bluetooth headset and printer support for mac os x ,Feb 5 2004 12:00AM,sean bonner,  , mac users will find that running software update  today will get them bluetooth software 1.5 which adds support for bluetooth headsets and printers. iand#8217;ve been dying to  use my hb65 pictured right with ichatav and havenand#8217;t been able to until now.  mobilewhack  has some additional info about some pairing problems some people were having as well as solutions. ,375,1,0,0, http://www.tuaw.com/2004/02/05/bluetooth-headset-and-printer-support-for-mac-os-x/#comments ,http://www.tuaw.com/2004/02/05/bluetooth-headset-and-printer-support-for-mac-os-x/,,
silence is golden ,Feb 5 2004 12:00AM,sean bonner,  , and for $0.99 you can buy any number of differnt tracks containing complete silence from the itunes music     store. has the scoop:        yesterday we mentioned in passing that faithful viewer djsteve had purchased a track that cost him the and#8220;best 99  cents [heand#8217;d] ever spent.and#8221; the joke of course was that it was the second track from the whitey album by ciccone youth  which consists of a minute and three secondsand#8217; worth of  silence.  to tell you the truth while weand#8217;re amused by the fact that apple is charging 99 cents for a song full oand#8217; nothing weand#8217;re  even more amused by the fact that said track contains the usual digital rights management code to prevent you from  playing it on any unauthorized systems. and the most amusing thing of all of course is that the song has a  thirty-second preview.    well as it turns out the ciccone youth track is by no means the only all-silent untune for sale at the itms;  faithful viewers ben scott levin and michael wyszomierski contributed their own suggestions too. and you know how  apple recently added a bunch of and#8220;itunes essentialsand#8221; playlists to the store such as  and#8220;cover songsand#8220; and  and#8220;and#8216;70s am radio classicsand#8220;?  well weand#8217;ve compiled all the silent tracks we managed to scrape together into the first atat essentials playlist and#8220;to  be played at maximum volume.and#8221;    the playlist which can be found here contains 9 songs 3 of  which come in both [clean] and [explicit] versions. via  boingboing ,1575,6,0,0, http://www.tuaw.com/2004/02/05/silence-is-golden/#comments ,http://www.tuaw.com/2004/02/05/silence-is-golden/,,
.mac mail lost for good ,Feb 6 2004 12:00AM,sean bonner,  , macnn reports that the .mac mail lost during mondayand#8217;s outage was  caused by a faulty virus filter and that thereand#8217;s no chance of recovery. additionally:        apple has records of the sender addresses for all e-mail that were lost but does not currently intend to release  this information to .mac members. apple has not notified customers and is reportedly deleting posts on its discussion  board trying to convey information regarding the situation. apple did not respond to requests for comment or  confirmation. ,533,1,0,0, http://www.tuaw.com/2004/02/06/mac-mail-lost-for-good/#comments ,http://www.tuaw.com/2004/02/06/mac-mail-lost-for-good/,,
video ipod? ,Feb 7 2004 12:00AM,sean bonner,  , the and#8220;video ipodand#8221; romor has been floating around  for a while so until they go on sale itand#8217;s all still speculation.  this zdnet story talk about some of the  reasoning behind the rumors and what might come of them and when.        and#8220;last month the careers page of appleand#8217;s web site advertised an opening for a video ipod developer. the listing  has disappeared but in this new york times interview jobs mentions that someone in the companyand#8217;s labs could be  working on such a device. he also talks about some of the same doubts and challenges that iand#8217;m discussing here so for  the record my prediction might still come true.and#8221; ,685,1,0,0, http://www.tuaw.com/2004/02/07/video-ipod/#comments ,http://www.tuaw.com/2004/02/07/video-ipod/,,
saturday 7 - 02.07.04 ,Feb 7 2004 12:00AM,sean bonner,  , cinematic       this is an innovative media player that allows you to build and manage playlists of digital movies on your macintosh.  think itunes for videos.          homeland security smackdown       hereand#8217;s two handy apps thatandhellip; ok they are totally useless but funny none the less. homeland alert and realthreat 1.0  will keep you up to the minute notified about the current terror threat level. like i said totally useless.        cheetah3d       cheetah3d is a lean fast and elegant just like a real cheetah! 3d modeler for macos x with an easy learning curve.  it offers many tools from simple polygon editing over advanced subdivision modeling to boolean operations and beziere  splines.        genius       genius helps you memorize things. it organizes your information using the leitner and#8220;learning cardfileand#8221; system and it  quizzes you using a spaced repetition method. for each quiz genius carefully chooses each question based on your past  performance by combining repetition intervals and weighted random selection. it even performs lexical similarity  analysis for fuzzy answer checking.        ecto       ecto is a feature-rich desktop blogging client for macosx supporting a wide range of weblog systems such as typepad  movabletype nucleus blogger and more.        safari enhancer       safari enhancer is an application for enhancing the functionality of appleand#8217;s safari webbrowser. some features include:  removing underlines from hyperlinks making the status text in the downloads window and bookmarks sidebar more  readable setting a minimum font size for webpages importing bookmarks from any html file and directly from internet  explorer mozilla netscape camino omniweb imperfect and icab.        maxi bidder       their site says this is the number one way for macintosh users to win ebay auctions iand#8217;m not so sure about it being #1  but itand#8217;s pretty cool. ,1935,7,0,0, http://www.tuaw.com/2004/02/07/saturday-7-02-07-04/#comments ,http://www.tuaw.com/2004/02/07/saturday-7-02-07-04/,,
bloggingetech.com up and running ,Feb 9 2004 12:00AM,jason mccabe calacanis,  , since a bunch of the wli crew is in san diego for the etech conference weand#8217;ve launched bloggingetech.com. a blog  dedicated to the conference by sean judith mike jason and xeni so far.        if youand#8217;re interested in joining us email me at jason [ at ] calacanis.com. ,283,0,0,0, http://www.tuaw.com/2004/02/09/bloggingetech-com-up-and-running/#comments ,http://www.tuaw.com/2004/02/09/bloggingetech-com-up-and-running/,,
 itunes adobe style? ,Feb 13 2004 12:00AM,gregory han,  , making life possibly that much easier for pixel pushers all over    computerwire reports adobe is pondering emulating appleand#8217;s successful online music distribution system with a  downloadable photography and design templates service.        adobeand#8217;s ceo bruce chizen said the company is considering making more use of its dominant market share in the  desktop imaging market with its photoshop and illustrator packages by launching the equivalent of appleand#8217;s itunes but  for digital imaging.    hereand#8217;s hoping for 99andcent; downloadsandhellip;. ,575,1,0,0, http://www.tuaw.com/2004/02/13/itunes-adobe-style/#comments ,http://www.tuaw.com/2004/02/13/itunes-adobe-style/,,
ipod integration with alpine car audio ,Feb 13 2004 12:00AM,gregory han,  , alpine electronics  announces  yet another way to enjoy the apple ipod:        and#8220;alpineand#8217;s ipod ready in-dash receivers will allow ipod users seamless control of up to 10000 songs easily in their  carand#8221; said stan ng appleand#8217;s director of ipod product marketing. and#8220;being able to display song information and browse the  ipodand#8217;s entire music library right from the alpine head unit makes this a superior way to enjoy non-stop music in the  car.and#8221;    alpine has engineered a unique interface box that takes advantage of the ipod accessory protocol allowing audio  track information and control signals to be communicated over the ai-net system bus to the in-dash receiver. this  seamless integration provides emulation of the ipodand#8217;s controls through an alpine head unit using both the front panel  buttons and the wireless remote control. ,893,1,0,0, http://www.tuaw.com/2004/02/13/ipod-integration-with-alpine-car-audio/#comments ,http://www.tuaw.com/2004/02/13/ipod-integration-with-alpine-car-audio/,,
